"InChI=1S/C21H30N2O4/c1-14(15-6-3-2-4-7-15)22-20(25)12-17-10-11-18(19(13-24)27-17)23-21(26)16-8-5-9-16/h2-4,6-7,14,16-19,24H,5,8-13H2,1H3,(H,22,25)(H,23,26)/t14-,17-,18+,19+/m0/s1"
"InChI=1S/C20H23FN4O4/c21-15-4-2-1-3-14(15)19(27)24-8-7-13-5-6-16(18(12-26)29-13)25-20(28)17-11-22-9-10-23-17/h1-4,9-11,13,16,18,26H,5-8,12H2,(H,24,27)(H,25,28)/t13-,16+,18-/m1/s1"
"InChI=1S/C20H23FN4O4/c21-15-4-2-1-3-13(15)10-24-19(27)9-14-5-6-16(18(12-26)29-14)25-20(28)17-11-22-7-8-23-17/h1-4,7-8,11,14,16,18,26H,5-6,9-10,12H2,(H,24,27)(H,25,28)/t14-,16+,18+/m0/s1"
"InChI=1S/C25H28N2O6/c28-13-23-20(27-25(30)17-5-8-21-22(11-17)32-14-31-21)7-6-19(33-23)12-24(29)26-18-9-15-3-1-2-4-16(15)10-18/h1-5,8,11,18-20,23,28H,6-7,9-10,12-14H2,(H,26,29)(H,27,30)/t19-,20+,23-/m0/s1"
"InChI=1S/C18H26N4O4/c23-11-16-14(22-17(24)12-2-1-3-12)5-4-13(26-16)6-7-21-18(25)15-10-19-8-9-20-15/h8-10,12-14,16,23H,1-7,11H2,(H,21,25)(H,22,24)/t13-,14-,16-/m0/s1"
"InChI=1S/C22H31F3N4O4/c23-22(24,25)15-3-5-16(6-4-15)27-21(32)28-18-8-7-17(33-19(18)14-30)13-20(31)26-9-12-29-10-1-2-11-29/h3-6,17-19,30H,1-2,7-14H2,(H,26,31)(H2,27,28,32)/t17-,18+,19-/m1/s1"
"InChI=1S/C22H31F3N4O4/c23-22(24,25)15-3-5-16(6-4-15)27-21(32)28-18-8-7-17(33-19(18)14-30)13-20(31)26-9-12-29-10-1-2-11-29/h3-6,17-19,30H,1-2,7-14H2,(H,26,31)(H2,27,28,32)/t17-,18+,19+/m0/s1"
"InChI=1S/C17H32N4O4/c1-12(2)19-17(24)20-14-7-6-13(25-15(14)11-22)10-16(23)18-8-5-9-21(3)4/h6-7,12-15,22H,5,8-11H2,1-4H3,(H,18,23)(H2,19,20,24)/t13-,14-,15+/m1/s1"
"InChI=1S/C22H25FN2O6S/c1-30-17-3-2-4-19(11-17)32(28,29)25-20-10-9-18(31-21(20)14-26)12-22(27)24-13-15-5-7-16(23)8-6-15/h2-11,18,20-21,25-26H,12-14H2,1H3,(H,24,27)/t18-,20+,21-/m0/s1"
"InChI=1S/C20H30N4O4S/c1-15(2)19-12-24(23-21-19)11-10-17-8-9-18(20(13-25)28-17)22-29(26,27)14-16-6-4-3-5-7-16/h3-7,12,15,17-18,20,22,25H,8-11,13-14H2,1-2H3/t17-,18-,20+/m1/s1"
"InChI=1S/C22H26N4O4/c27-15-20-19(26-22(29)13-17-3-1-2-9-24-17)5-4-18(30-20)14-21(28)25-12-8-16-6-10-23-11-7-16/h1-7,9-11,18-20,27H,8,12-15H2,(H,25,28)(H,26,29)/t18-,19+,20+/m1/s1"
"InChI=1S/C20H28N2O5/c23-14-18-17(21-19(24)12-15-4-2-1-3-5-15)7-6-16(27-18)13-20(25)22-8-10-26-11-9-22/h1-5,16-18,23H,6-14H2,(H,21,24)/t16-,17+,18+/m1/s1"
"InChI=1S/C19H26F3N3O4/c1-2-17(27)25-15-8-7-14(29-16(15)11-26)9-10-23-18(28)24-13-5-3-12(4-6-13)19(20,21)22/h3-6,14-16,26H,2,7-11H2,1H3,(H,25,27)(H2,23,24,28)/t14-,15+,16-/m0/s1"
"InChI=1S/C20H28N4O4/c1-23-8-10-24(11-9-23)20(27)13-16-5-6-17(18(14-25)28-16)22-19(26)12-15-4-2-3-7-21-15/h2-7,16-18,25H,8-14H2,1H3,(H,22,26)/t16-,17+,18-/m1/s1"
"InChI=1S/C23H33Cl2N3O4/c24-17-12-16(13-18(25)14-17)23(31)26-8-6-19-4-5-20(21(15-29)32-19)27-22(30)7-11-28-9-2-1-3-10-28/h12-14,19-21,29H,1-11,15H2,(H,26,31)(H,27,30)/t19-,20-,21-/m1/s1"
"InChI=1S/C22H26N4O4/c27-15-20-19(26-22(29)13-17-3-1-2-9-24-17)5-4-18(30-20)14-21(28)25-12-8-16-6-10-23-11-7-16/h1-7,9-11,18-20,27H,8,12-15H2,(H,25,28)(H,26,29)/t18-,19+,20-/m0/s1"
"InChI=1S/C20H30N4O4/c1-24(2)10-4-9-22-19(26)12-16-6-7-17(18(14-25)28-16)23-20(27)11-15-5-3-8-21-13-15/h3,5-8,13,16-18,25H,4,9-12,14H2,1-2H3,(H,22,26)(H,23,27)/t16-,17+,18-/m1/s1"
"InChI=1S/C27H27F2N3O4/c28-19-8-12-22(29)24(14-19)32-27(35)31-23-13-11-21(36-25(23)16-33)15-26(34)30-20-9-6-18(7-10-20)17-4-2-1-3-5-17/h1-10,12,14,21,23,25,33H,11,13,15-16H2,(H,30,34)(H2,31,32,35)/t21-,23-,25-/m1/s1"
"InChI=1S/C24H31N3O5/c1-16(17-8-4-3-5-9-17)25-23(29)14-18-12-13-20(22(15-28)32-18)27-24(30)26-19-10-6-7-11-21(19)31-2/h3-11,16,18,20,22,28H,12-15H2,1-2H3,(H,25,29)(H2,26,27,30)/t16-,18+,20-,22+/m0/s1"
"InChI=1S/C16H21NO7S/c1-22-11-3-6-13(7-4-11)25(20,21)17-14-8-5-12(9-16(19)23-2)24-15(14)10-18/h3-8,12,14-15,17-18H,9-10H2,1-2H3/t12-,14+,15+/m0/s1"
"InChI=1S/C28H37N3O4/c32-20-26-25(30-27(33)15-18-31-16-5-2-6-17-31)14-13-24(35-26)19-28(34)29-23-11-9-22(10-12-23)21-7-3-1-4-8-21/h1,3-4,7-12,24-26,32H,2,5-6,13-20H2,(H,29,34)(H,30,33)/t24-,25-,26+/m0/s1"
"InChI=1S/C20H28FN3O4/c1-24(2)11-5-10-22-19(26)12-14-8-9-17(18(13-25)28-14)23-20(27)15-6-3-4-7-16(15)21/h3-4,6-9,14,17-18,25H,5,10-13H2,1-2H3,(H,22,26)(H,23,27)/t14-,17+,18+/m1/s1"
"InChI=1S/C21H27FN2O6S2/c1-15-5-4-6-17(13-15)31(26,27)24-19-10-9-16(30-20(19)14-25)11-12-23-32(28,29)21-8-3-2-7-18(21)22/h2-8,13,16,19-20,23-25H,9-12,14H2,1H3/t16-,19+,20-/m1/s1"
"InChI=1S/C15H21NO6S/c1-10-2-5-12(6-3-10)23(20,21)16-13-7-4-11(8-15(18)19)22-14(13)9-17/h2-3,5-6,11,13-14,16-17H,4,7-9H2,1H3,(H,18,19)/t11-,13+,14-/m0/s1"
"InChI=1S/C20H28FN3O4/c1-24(2)11-5-10-22-19(26)12-14-8-9-17(18(13-25)28-14)23-20(27)15-6-3-4-7-16(15)21/h3-4,6-9,14,17-18,25H,5,10-13H2,1-2H3,(H,22,26)(H,23,27)/t14-,17-,18+/m1/s1"
"InChI=1S/C16H19NO5/c1-21-15(19)9-12-7-8-13(14(10-18)22-12)17-16(20)11-5-3-2-4-6-11/h2-8,12-14,18H,9-10H2,1H3,(H,17,20)/t12-,13-,14+/m1/s1"
"InChI=1S/C21H31N5O4/c1-25(2)13-21(28)22-18-8-7-16(30-20(18)14-27)9-10-26-12-19(23-24-26)15-5-4-6-17(11-15)29-3/h4-6,11-12,16,18,20,27H,7-10,13-14H2,1-3H3,(H,22,28)/t16-,18-,20+/m0/s1"
"InChI=1S/C18H32N2O4/c1-2-17(22)20-15-9-8-14(24-16(15)12-21)10-18(23)19-11-13-6-4-3-5-7-13/h13-16,21H,2-12H2,1H3,(H,19,23)(H,20,22)/t14-,15+,16+/m1/s1"
"InChI=1S/C22H31N3O5/c1-16(17-5-3-2-4-6-17)23-21(27)13-18-7-8-19(20(15-26)30-18)24-22(28)14-25-9-11-29-12-10-25/h2-8,16,18-20,26H,9-15H2,1H3,(H,23,27)(H,24,28)/t16-,18+,19-,20+/m1/s1"
"InChI=1S/C23H33Cl2N3O4/c24-17-12-16(13-18(25)14-17)23(31)26-8-6-19-4-5-20(21(15-29)32-19)27-22(30)7-11-28-9-2-1-3-10-28/h12-14,19-21,29H,1-11,15H2,(H,26,31)(H,27,30)/t19-,20-,21+/m1/s1"
"InChI=1S/C22H28N2O5S/c1-2-30(27,28)24-20-13-12-19(29-21(20)15-25)14-22(26)23-18-10-8-17(9-11-18)16-6-4-3-5-7-16/h3-11,19-21,24-25H,2,12-15H2,1H3,(H,23,26)/t19-,20+,21-/m1/s1"
"InChI=1S/C22H31N3O5/c1-16(17-5-3-2-4-6-17)23-21(27)13-18-7-8-19(20(15-26)30-18)24-22(28)14-25-9-11-29-12-10-25/h2-8,16,18-20,26H,9-15H2,1H3,(H,23,27)(H,24,28)/t16-,18+,19+,20-/m1/s1"
"InChI=1S/C23H24ClN3O6/c24-15-3-1-14(2-4-15)11-25-22(29)10-17-6-7-18(21(12-28)33-17)27-23(30)26-16-5-8-19-20(9-16)32-13-31-19/h1-9,17-18,21,28H,10-13H2,(H,25,29)(H2,26,27,30)/t17-,18+,21-/m0/s1"
"InChI=1S/C22H26FN3O4/c23-18-7-2-1-6-17(18)22(29)26-19-9-8-16(30-20(19)14-27)10-12-25-21(28)13-15-5-3-4-11-24-15/h1-7,11,16,19-20,27H,8-10,12-14H2,(H,25,28)(H,26,29)/t16-,19+,20+/m1/s1"
"InChI=1S/C19H25FN2O5/c20-14-3-1-2-13(10-14)19(25)21-16-5-4-15(27-17(16)12-23)11-18(24)22-6-8-26-9-7-22/h1-3,10,15-17,23H,4-9,11-12H2,(H,21,25)/t15-,16-,17-/m0/s1"
"InChI=1S/C21H32N4O5/c26-15-19-18(24-21(28)14-25-9-11-29-12-10-25)2-1-17(30-19)13-20(27)23-8-5-16-3-6-22-7-4-16/h3-4,6-7,17-19,26H,1-2,5,8-15H2,(H,23,27)(H,24,28)/t17-,18-,19-/m0/s1"
"InChI=1S/C18H28N6O5/c1-11-17(12(2)29-22-11)20-18(26)19-15-5-4-14(28-16(15)9-25)6-7-24-8-13(10-27-3)21-23-24/h8,14-16,25H,4-7,9-10H2,1-3H3,(H2,19,20,26)/t14-,15-,16+/m0/s1"
"InChI=1S/C21H30N2O4/c1-14(15-6-3-2-4-7-15)22-20(25)12-17-10-11-18(19(13-24)27-17)23-21(26)16-8-5-9-16/h2-4,6-7,14,16-19,24H,5,8-13H2,1H3,(H,22,25)(H,23,26)/t14-,17-,18-,19+/m1/s1"
"InChI=1S/C21H31N5O4/c1-25(2)13-21(28)22-18-8-7-16(30-20(18)14-27)9-10-26-12-19(23-24-26)15-5-4-6-17(11-15)29-3/h4-6,11-12,16,18,20,27H,7-10,13-14H2,1-3H3,(H,22,28)/t16-,18-,20-/m1/s1"
"InChI=1S/C20H24Cl2N2O6S2/c21-14-5-8-16(9-6-14)31(26,27)23-12-11-15-7-10-18(19(13-25)30-15)24-32(28,29)20-4-2-1-3-17(20)22/h1-6,8-9,15,18-19,23-25H,7,10-13H2/t15-,18+,19+/m0/s1"
"InChI=1S/C23H24ClN3O6/c24-15-3-1-14(2-4-15)11-25-22(29)10-17-6-7-18(21(12-28)33-17)27-23(30)26-16-5-8-19-20(9-16)32-13-31-19/h1-9,17-18,21,28H,10-13H2,(H,25,29)(H2,26,27,30)/t17-,18-,21+/m0/s1"
"InChI=1S/C18H25N5O4/c1-26-12-14-10-23(22-21-14)9-6-15-2-3-16(17(11-24)27-15)20-18(25)13-4-7-19-8-5-13/h4-5,7-8,10,15-17,24H,2-3,6,9,11-12H2,1H3,(H,20,25)/t15-,16-,17-/m0/s1"
"InChI=1S/C16H21FN4O2/c17-12-3-1-2-11(8-12)15-9-21(20-19-15)7-6-13-4-5-14(18)16(10-22)23-13/h1-3,8-9,13-14,16,22H,4-7,10,18H2/t13-,14+,16-/m1/s1"
"InChI=1S/C22H25FN2O6S/c1-30-17-3-2-4-19(11-17)32(28,29)25-20-10-9-18(31-21(20)14-26)12-22(27)24-13-15-5-7-16(23)8-6-15/h2-11,18,20-21,25-26H,12-14H2,1H3,(H,24,27)/t18-,20+,21+/m0/s1"
"InChI=1S/C24H31N3O5/c1-16(17-8-4-3-5-9-17)25-23(29)14-18-12-13-20(22(15-28)32-18)27-24(30)26-19-10-6-7-11-21(19)31-2/h3-11,16,18,20,22,28H,12-15H2,1-2H3,(H,25,29)(H2,26,27,30)/t16-,18+,20-,22-/m0/s1"
"InChI=1S/C22H25FN2O5S/c1-15(16-6-3-2-4-7-16)24-22(27)13-18-10-11-20(21(14-26)30-18)25-31(28,29)19-9-5-8-17(23)12-19/h2-12,15,18,20-21,25-26H,13-14H2,1H3,(H,24,27)/t15-,18-,20-,21+/m0/s1"
"InChI=1S/C16H23NO7S/c1-22-11-3-6-13(7-4-11)25(20,21)17-14-8-5-12(9-16(19)23-2)24-15(14)10-18/h3-4,6-7,12,14-15,17-18H,5,8-10H2,1-2H3/t12-,14+,15+/m1/s1"
"InChI=1S/C20H27FN4O3/c1-13(2)18-11-25(24-23-18)9-8-16-6-7-17(19(12-26)28-16)22-20(27)14-4-3-5-15(21)10-14/h3-5,10-11,13,16-17,19,26H,6-9,12H2,1-2H3,(H,22,27)/t16-,17-,19-/m0/s1"
"InChI=1S/C27H27F2N3O4/c28-19-8-12-22(29)24(14-19)32-27(35)31-23-13-11-21(36-25(23)16-33)15-26(34)30-20-9-6-18(7-10-20)17-4-2-1-3-5-17/h1-10,12,14,21,23,25,33H,11,13,15-16H2,(H,30,34)(H2,31,32,35)/t21-,23+,25-/m0/s1"
"InChI=1S/C15H24N2O4S/c16-9-8-13-6-7-14(15(10-18)21-13)17-22(19,20)11-12-4-2-1-3-5-12/h1-5,13-15,17-18H,6-11,16H2/t13-,14-,15-/m1/s1"
"InChI=1S/C18H28N2O5/c21-11-16-15(20-18(23)13-5-7-24-8-6-13)4-3-14(25-16)9-17(22)19-10-12-1-2-12/h3-4,12-16,21H,1-2,5-11H2,(H,19,22)(H,20,23)/t14-,15+,16-/m1/s1"
"InChI=1S/C23H27FN2O5/c1-30-18-7-5-15(6-8-18)13-25-22(28)12-19-9-10-20(21(14-27)31-19)26-23(29)16-3-2-4-17(24)11-16/h2-8,11,19-21,27H,9-10,12-14H2,1H3,(H,25,28)(H,26,29)/t19-,20-,21+/m0/s1"
"InChI=1S/C21H31N5O4/c1-25(2)13-21(28)22-18-8-7-16(30-20(18)14-27)9-10-26-12-19(23-24-26)15-5-4-6-17(11-15)29-3/h4-6,11-12,16,18,20,27H,7-10,13-14H2,1-3H3,(H,22,28)/t16-,18+,20+/m1/s1"
"InChI=1S/C17H29N3O5/c1-24-9-8-18-16(22)10-13-6-7-14(15(11-21)25-13)20-17(23)19-12-4-2-3-5-12/h6-7,12-15,21H,2-5,8-11H2,1H3,(H,18,22)(H2,19,20,23)/t13-,14-,15+/m0/s1"
"InChI=1S/C22H26N4O4/c27-15-20-19(26-22(29)13-17-3-1-2-9-24-17)5-4-18(30-20)14-21(28)25-12-8-16-6-10-23-11-7-16/h1-7,9-11,18-20,27H,8,12-15H2,(H,25,28)(H,26,29)/t18-,19-,20-/m0/s1"
"InChI=1S/C19H25FN2O5/c20-14-3-1-2-13(10-14)19(25)21-16-5-4-15(27-17(16)12-23)11-18(24)22-6-8-26-9-7-22/h1-3,10,15-17,23H,4-9,11-12H2,(H,21,25)/t15-,16-,17+/m1/s1"
"InChI=1S/C20H24ClN3O5S/c21-15-2-1-3-17(12-15)30(27,28)23-11-8-16-4-5-18(19(13-25)29-16)24-20(26)14-6-9-22-10-7-14/h1-3,6-7,9-10,12,16,18-19,23,25H,4-5,8,11,13H2,(H,24,26)/t16-,18+,19+/m1/s1"
"InChI=1S/C20H23FN4O4/c21-15-4-2-1-3-14(15)19(27)24-8-7-13-5-6-16(18(12-26)29-13)25-20(28)17-11-22-9-10-23-17/h1-4,9-11,13,16,18,26H,5-8,12H2,(H,24,27)(H,25,28)/t13-,16+,18-/m0/s1"
"InChI=1S/C21H28ClN5O5/c1-12-19(13(2)32-27-12)26-20(29)23-9-8-16-6-7-17(18(11-28)31-16)25-21(30)24-15-5-3-4-14(22)10-15/h3-5,10,16-18,28H,6-9,11H2,1-2H3,(H2,23,26,29)(H2,24,25,30)/t16-,17-,18+/m1/s1"
"InChI=1S/C19H33N5O5/c1-12-18(13(2)29-23-12)22-19(27)21-15-7-6-14(28-16(15)11-25)10-17(26)20-8-5-9-24(3)4/h14-16,25H,5-11H2,1-4H3,(H,20,26)(H2,21,22,27)/t14-,15+,16-/m1/s1"
"InChI=1S/C21H23Cl2N3O4/c22-16-5-3-13(8-17(16)23)10-25-20(28)9-15-4-6-18(19(12-27)30-15)26-21(29)14-2-1-7-24-11-14/h1-3,5,7-8,11,15,18-19,27H,4,6,9-10,12H2,(H,25,28)(H,26,29)/t15-,18+,19-/m0/s1"
"InChI=1S/C20H28FN5O3/c1-13(2)22-20(28)23-17-8-7-16(29-19(17)12-27)9-10-26-11-18(24-25-26)14-3-5-15(21)6-4-14/h3-6,11,13,16-17,19,27H,7-10,12H2,1-2H3,(H2,22,23,28)/t16-,17-,19-/m1/s1"
"InChI=1S/C16H19NO5/c1-21-15(19)9-12-7-8-13(14(10-18)22-12)17-16(20)11-5-3-2-4-6-11/h2-8,12-14,18H,9-10H2,1H3,(H,17,20)/t12-,13+,14+/m1/s1"
"InChI=1S/C28H35N3O4/c32-20-26-25(30-27(33)15-18-31-16-5-2-6-17-31)14-13-24(35-26)19-28(34)29-23-11-9-22(10-12-23)21-7-3-1-4-8-21/h1,3-4,7-14,24-26,32H,2,5-6,15-20H2,(H,29,34)(H,30,33)/t24-,25+,26+/m1/s1"
"InChI=1S/C16H23NO7S/c1-22-11-3-6-13(7-4-11)25(20,21)17-14-8-5-12(9-16(19)23-2)24-15(14)10-18/h3-4,6-7,12,14-15,17-18H,5,8-10H2,1-2H3/t12-,14+,15-/m0/s1"
"InChI=1S/C15H20N2O5/c18-9-13-12(7-6-11(22-13)8-14(19)20)17-15(21)16-10-4-2-1-3-5-10/h1-5,11-13,18H,6-9H2,(H,19,20)(H2,16,17,21)/t11-,12+,13-/m1/s1"
"InChI=1S/C27H27F2N3O4/c28-19-8-12-22(29)24(14-19)32-27(35)31-23-13-11-21(36-25(23)16-33)15-26(34)30-20-9-6-18(7-10-20)17-4-2-1-3-5-17/h1-10,12,14,21,23,25,33H,11,13,15-16H2,(H,30,34)(H2,31,32,35)/t21-,23+,25+/m0/s1"
"InChI=1S/C22H27FN2O5S/c1-15-5-8-19(9-6-15)31(28,29)24-12-11-18-7-10-20(21(14-26)30-18)25-22(27)16-3-2-4-17(23)13-16/h2-6,8-9,13,18,20-21,24,26H,7,10-12,14H2,1H3,(H,25,27)/t18-,20+,21-/m1/s1"
"InChI=1S/C20H23FN4O4/c21-15-4-2-1-3-14(15)19(27)24-8-7-13-5-6-16(18(12-26)29-13)25-20(28)17-11-22-9-10-23-17/h1-4,9-11,13,16,18,26H,5-8,12H2,(H,24,27)(H,25,28)/t13-,16+,18+/m1/s1"
"InChI=1S/C22H25FN2O5S/c1-15(16-6-3-2-4-7-16)24-22(27)13-18-10-11-20(21(14-26)30-18)25-31(28,29)19-9-5-8-17(23)12-19/h2-12,15,18,20-21,25-26H,13-14H2,1H3,(H,24,27)/t15-,18-,20+,21+/m1/s1"
"InChI=1S/C18H26N4O4/c23-11-16-14(22-17(24)12-2-1-3-12)5-4-13(26-16)6-7-21-18(25)15-10-19-8-9-20-15/h8-10,12-14,16,23H,1-7,11H2,(H,21,25)(H,22,24)/t13-,14-,16+/m0/s1"
"InChI=1S/C18H33N3O5/c1-12(2)20-18(24)21-15-4-3-14(26-16(15)11-22)5-8-19-17(23)13-6-9-25-10-7-13/h12-16,22H,3-11H2,1-2H3,(H,19,23)(H2,20,21,24)/t14-,15+,16-/m1/s1"
"InChI=1S/C17H29N3O5/c1-24-9-8-18-16(22)10-13-6-7-14(15(11-21)25-13)20-17(23)19-12-4-2-3-5-12/h6-7,12-15,21H,2-5,8-11H2,1H3,(H,18,22)(H2,19,20,23)/t13-,14+,15-/m1/s1"
"InChI=1S/C28H35N3O4/c32-20-26-25(30-27(33)15-18-31-16-5-2-6-17-31)14-13-24(35-26)19-28(34)29-23-11-9-22(10-12-23)21-7-3-1-4-8-21/h1,3-4,7-14,24-26,32H,2,5-6,15-20H2,(H,29,34)(H,30,33)/t24-,25+,26-/m0/s1"
"InChI=1S/C18H25N5O4/c1-26-12-14-10-23(22-21-14)9-6-15-2-3-16(17(11-24)27-15)20-18(25)13-4-7-19-8-5-13/h4-5,7-8,10,15-17,24H,2-3,6,9,11-12H2,1H3,(H,20,25)/t15-,16+,17+/m1/s1"
"InChI=1S/C22H31F3N4O4/c23-22(24,25)15-3-5-16(6-4-15)27-21(32)28-18-8-7-17(33-19(18)14-30)13-20(31)26-9-12-29-10-1-2-11-29/h3-6,17-19,30H,1-2,7-14H2,(H,26,31)(H2,27,28,32)/t17-,18+,19+/m1/s1"
"InChI=1S/C22H24ClFN4O4S/c23-16-4-7-19(8-5-16)33(30,31)26-20-9-6-18(32-22(20)14-29)10-11-28-13-21(25-27-28)15-2-1-3-17(24)12-15/h1-5,7-8,12-13,18,20,22,26,29H,6,9-11,14H2/t18-,20+,22-/m1/s1"
"InChI=1S/C22H28N2O5S/c1-2-30(27,28)24-20-13-12-19(29-21(20)15-25)14-22(26)23-18-10-8-17(9-11-18)16-6-4-3-5-7-16/h3-11,19-21,24-25H,2,12-15H2,1H3,(H,23,26)/t19-,20+,21+/m0/s1"
"InChI=1S/C22H24ClFN4O4S/c23-16-4-7-19(8-5-16)33(30,31)26-20-9-6-18(32-22(20)14-29)10-11-28-13-21(25-27-28)15-2-1-3-17(24)12-15/h1-5,7-8,12-13,18,20,22,26,29H,6,9-11,14H2/t18-,20-,22+/m1/s1"
"InChI=1S/C23H27FN2O5/c1-30-18-7-5-15(6-8-18)13-25-22(28)12-19-9-10-20(21(14-27)31-19)26-23(29)16-3-2-4-17(24)11-16/h2-8,11,19-21,27H,9-10,12-14H2,1H3,(H,25,28)(H,26,29)/t19-,20+,21-/m0/s1"
"InChI=1S/C20H28FN3O4/c1-24(2)11-5-10-22-19(26)12-14-8-9-17(18(13-25)28-14)23-20(27)15-6-3-4-7-16(15)21/h3-4,6-9,14,17-18,25H,5,10-13H2,1-2H3,(H,22,26)(H,23,27)/t14-,17+,18-/m0/s1"
"InChI=1S/C20H30N4O4S/c1-15(2)19-12-24(23-21-19)11-10-17-8-9-18(20(13-25)28-17)22-29(26,27)14-16-6-4-3-5-7-16/h3-7,12,15,17-18,20,22,25H,8-11,13-14H2,1-2H3/t17-,18-,20-/m1/s1"
"InChI=1S/C21H27FN2O6S2/c1-15-5-4-6-17(13-15)31(26,27)24-19-10-9-16(30-20(19)14-25)11-12-23-32(28,29)21-8-3-2-7-18(21)22/h2-8,13,16,19-20,23-25H,9-12,14H2,1H3/t16-,19-,20+/m1/s1"
"InChI=1S/C20H28N4O4/c1-23-8-10-24(11-9-23)20(27)13-16-5-6-17(18(14-25)28-16)22-19(26)12-15-4-2-3-7-21-15/h2-7,16-18,25H,8-14H2,1H3,(H,22,26)/t16-,17+,18-/m0/s1"
